rank,config,cum_return,positions,pos_per_week,net_per_pos,raw_per_week,cap_feasible_wk,weekly_sd,nw_t_vs_baseline,weeks_won_vs_baseline,mtm_marked_pct,open_at_horizon_frac
642,eb_shrinkage_skill|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-728.1766399181575,188,7.833333333333333,-3.8732799995646676,-30.34069332992323,-30.34069332992323,127.84349823658391,-1.5389197551638563,4,0.9946808510638298,0.13829787234042554
643,gu_koenker_npmle|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-728.1766399181575,188,7.833333333333333,-3.8732799995646676,-30.34069332992323,-30.34069332992323,127.84349823658391,-1.5389197551638563,4,0.9946808510638298,0.13829787234042554
644,eb_shrinkage_skill|deflated_sharpe|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-728.1766399181575,188,7.833333333333333,-3.8732799995646676,-30.34069332992323,-30.34069332992323,127.84349823658391,-1.5389197551638563,4,0.9946808510638298,0.13829787234042554
645,gu_koenker_npmle|deflated_sharpe|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-728.1766399181575,188,7.833333333333333,-3.8732799995646676,-30.34069332992323,-30.34069332992323,127.84349823658391,-1.5389197551638563,4,0.9946808510638298,0.13829787234042554
646,t_stat_baseline|deflated_sharpe|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-728.1766399181575,188,7.833333333333333,-3.8732799995646676,-30.34069332992323,-30.34069332992323,127.84349823658391,-1.5389197551638563,4,0.9946808510638298,0.13829787234042554
647,t_stat_baseline|deflated_sharpe|policy_hybrid_displacement|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,-737.7890505683602,4305,179.375,-0.1713795703991545,-30.74121044034834,-30.741210440348336,580.8597864264614,-0.1194797034217966,14,0.9749128919860627,0.07479674796747968
648,t_stat_baseline|deflated_sharpe|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-756.3137857786055,171,7.125,-4.422887636132196,-31.513074407441895,-31.5130744074419,138.70296140360122,-1.865801400484672,3,1.0,0.14619883040935672
649,gu_koenker_npmle|deflated_sharpe|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-756.3137857786055,171,7.125,-4.422887636132196,-31.513074407441895,-31.5130744074419,138.70296140360122,-1.865801400484672,3,1.0,0.14619883040935672
650,eb_shrinkage_skill|deflated_sharpe|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-756.3137857786055,171,7.125,-4.422887636132196,-31.513074407441895,-31.5130744074419,138.70296140360122,-1.865801400484672,3,1.0,0.14619883040935672
651,gu_koenker_npmle|deflated_sharpe|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-756.3137857786055,171,7.125,-4.422887636132196,-31.513074407441895,-31.5130744074419,138.70296140360122,-1.865801400484672,3,1.0,0.14619883040935672
652,eb_shrinkage_skill|deflated_sharpe|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,-756.3137857786055,171,7.125,-4.422887636132196,-31.513074407441895,-31.5130744074419,138.70296140360122,-1.865801400484672,3,1.0,0.14619883040935672
653,proxy_clv|none|policy_hybrid_displacement|ttr24.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-763.007458008948,452,18.833333333333332,-1.6880695973649291,-31.7919774170395,-31.791977417039497,149.84517735816462,-0.43050179093716695,13,0.9712389380530974,0.08849557522123894
