config,cum_return,mean,sr,n_obs,skew,kurt,se,proxy_clv_tstat,proxy_clv_cov,true_clv_tstat,true_clv_cov
gu_koenker_npmle|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,64847.64137274417,2701.9850571976735,0.4533115908442114,24,2.311649192638584,7.108823900954306,1216.6915679406782,5.150303346133992,1.0,-1.5943135445031527,0.04706676162986843
gu_koenker_npmle|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,64767.15787154903,2698.63157798121,0.48032973607639373,24,2.157779772669534,6.264360336030911,1146.828569580174,5.326854390991401,1.0,-0.8992063903275685,0.06202157405002368
gu_koenker_npmle|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,63296.754838932,2637.3647849555,0.4436671165333006,24,2.329744747377416,7.190397882365597,1213.409361055117,9.595534409220656,1.0,-3.202076356710267,0.023741073303927746
t_stat_baseline|none|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,63234.177455074285,2634.7573939614285,0.4201795489828561,24,3.4627883599803315,14.69761461815034,1279.970913000889,9.923322884618562,0.9989497224913307,2.159443401291529,0.03034034423750758
gu_koenker_npmle|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.75,63173.004838932,2632.2085349555,0.4428009723273897,24,2.329792529434762,7.19033806700778,1213.4059111160434,9.595534409220656,1.0,-3.202076356710267,0.023741073303927746
t_stat_baseline|none|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,63075.21322479348,2628.133884366395,0.41931778447554063,24,3.4632123749153165,14.698781556026972,1279.3771277131677,9.923322884618562,0.9989497224913307,2.159443401291529,0.03034034423750758
proxy_clv|none|policy_online_weighting|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,55299.09518004909,2304.1289658353785,0.2794958572675035,24,3.8140711992682292,17.984349633390682,1682.773978310287,9.848379571603031,0.999001935639971,2.5227164977293275,0.12769174933462377
proxy_clv|none|policy_online_weighting|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,55220.224256709,2300.842677362875,0.2792123279670796,24,3.813905459050809,17.98376421754987,1682.080258595245,9.848379571603031,0.999001935639971,2.5227164977293275,0.12769174933462377
proxy_clv|deflated_sharpe|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,45178.15271149258,1882.4230296455241,0.5556072396990149,24,1.277695130177559,3.537125106756373,691.5820465180608,5.564060294017803,0.9989451476793249,3.841119066735255,0.5917721518987342
proxy_clv|deflated_sharpe|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,45024.0955187791,1876.003979949129,0.554018928707111,24,1.2778347382376458,3.53665771573833,691.1996847336281,5.564060294017803,0.9989451476793249,3.841119066735255,0.5917721518987342
t_stat_baseline|none|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,40025.53310037695,1667.7305458490398,0.3532217711495882,24,1.7225125837502042,9.124757156393322,963.7686574094253,10.317546128859982,0.9989504541999927,3.4850218365173413,0.0634432340487134
t_stat_baseline|none|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,39863.99754364844,1660.9998976520183,0.3520215693132854,24,1.7225222401216531,9.123918223914412,963.1517324349027,10.317546128859982,0.9989504541999927,3.4850218365173413,0.0634432340487134
